"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","101.7","","","","1"
"2004","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","103.8","","","","1"
"2005","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","106.4","","","","1"
"2006","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","108.9","","","","1"
"2007","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","111.8","","","","1"
"2008","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","115.7","","","","1"
"2009","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","121.4","","","","1"
"2010","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","123.1","","","","1"
"2011","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","127.7","","","","1"
"2012","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","130.8","","","","1"
"2013","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","132.4","","","","1"
"2014","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","135.5","","","","1"
"2015","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","140.5","","","","1"
"2016","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","142.6","","","","1"
"2017","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","142.7","","","","1"
"2018","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","145.3","","","","1"
"2019","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","150.2","","","","1"
"2020","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","153.7","","","","1"
"1982","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","56.8","","","","1"
"1983","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","60.9","","","","1"
"1984","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","63.3","","","","1"
"1985","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","65.6","","","","1"
"1986","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","67.5","","","","1"
"1987","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","70.5","","","","1"
"1988","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","73.8","","","","1"
"1989","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","78.1","","","","1"
"1990","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","82.5","","","","1"
"1991","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","86.3","","","","1"
"1992","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","87.9","","","","1"
"1993","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","89.1","","","","1"
"1994","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","89.4","","","","1"
"1995","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","90.4","","","","1"
"1996","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","90.6","","","","1"
"1997","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","90.8","","","","1"
"1998","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","91.1","","","","1"
"1999","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","92.3","","","","1"
"2000","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","95.6","","","","1"
"2001","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","99.1","","","","1"
"2002","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","100.0","","","","1"
"2003","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","103.2","","","","1"
"2004","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","105.8","","","","1"
"2005","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","109.2","","","","1"
"2006","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","113.1","","","","1"
"2007","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","116.9","","","","1"
"2008","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","122.0","","","","1"
"2009","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","121.6","","","","1"
"2010","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","123.3","","","","1"
"2011","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","125.6","","","","1"
"2012","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","127.1","","","","1"
"2013","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","128.7","","","","1"
"2014","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","132.2","","","","1"
"2015","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","133.7","","","","1"
"2016","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","135.8","","","","1"
"2017","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","138.1","","","","1"
"2018","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","140.9","","","","1"
"2019","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","144.5","","","","1"
"2020","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41693348","2.79","147.0","","","","1"
"1982","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","64.8","","","","1"
"1983","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","68.3","","","","1"
"1984","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","70.5","","","","1"
"1985","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","72.3","","","","1"
"1986","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","74.5","","","","1"
"1987","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","76.7","","","","1"
"1988","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","79.6","","","","1"
"1989","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","82.5","","","","1"
"1990","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","84.2","","","","1"
"1991","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","87.4","","","","1"
"1992","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","87.9","","","","1"
"1993","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","88.7","","","","1"
"1994","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","88.9","","","","1"
"1995","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","90.6","","","","1"
"1996","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","92.5","","","","1"
"1997","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","93.7","","","","1"
"1998","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","95.1","","","","1"
"1999","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","95.8","","","","1"
"2000","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","96.7","","","","1"
"2001","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","98.6","","","","1"
"2002","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","100.0","","","","1"
"2003","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","100.7","","","","1"
"2004","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","101.2","","","","1"
"2005","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","101.7","","","","1"
"2006","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","102.2","","","","1"
"2007","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","103.2","","","","1"
"2008","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","104.6","","","","1"
"2009","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","107.3","","","","1"
"2010","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","108.8","","","","1"
"2011","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","110.9","","","","1"
"2012","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","113.0","","","","1"
"2013","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","114.4","","","","1"
"2014","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","116.6","","","","1"
"2015","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","119.7","","","","1"
"2016","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","121.7","","","","1"
"2017","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","121.9","","","","1"
"2018","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","123.2","","","","1"
"2019","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","123.6","","","","1"
"2020","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41693365","2.96","123.8","","","","1"
"1982","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","65.3","","","","1"
"1983","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","67.9","","","","1"
"1984","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","69.5","","","","1"
"1985","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","71.5","","","","1"
"1986","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","73.4","","","","1"
"1987","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","76.5","","","","1"
"1988","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","80.5","","","","1"
"1989","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","83.7","","","","1"
"1990","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","86.1","","","","1"
"1991","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","94.3","","","","1"
"1992","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","95.1","","","","1"
"1993","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","96.0","","","","1"
"1994","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","96.8","","","","1"
"1995","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","96.7","","","","1"
"1996","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","96.4","","","","1"
"1997","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","97.7","","","","1"
"1998","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","98.8","","","","1"
"1999","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","100.1","","","","1"
"2000","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","100.3","","","","1"
"2001","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","100.7","","","","1"
"2002","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","100.0","","","","1"
"2003","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","98.2","","","","1"
"2004","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","98.0","","","","1"
"2005","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","97.6","","","","1"
"2006","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","95.8","","","","1"
"2007","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","95.7","","","","1"
"2008","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","93.8","","","","1"
"2009","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","93.4","","","","1"
"2010","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","91.6","","","","1"
"2011","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","91.9","","","","1"
"2012","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","92.0","","","","1"
"2013","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","92.1","","","","1"
"2014","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","93.2","","","","1"
"2015","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","94.6","","","","1"
"2016","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","94.4","","","","1"
"2017","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","93.7","","","","1"
"2018","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","94.5","","","","1"
"2019","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","96.1","","","","1"
"2020","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41693406","2.139","94.4","","","","1"
"1982","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","51.6","","","","1"
"1983","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","54.2","","","","1"
"1984","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","56.5","","","","1"
"1985","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","59.2","","","","1"
"1986","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","61.0","","","","1"
"1987","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","63.3","","","","1"
"1988","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","64.5","","","","1"
"1989","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","67.8","","","","1"
"1990","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","71.6","","","","1"
"1991","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","72.9","","","","1"
"1992","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","74.4","","","","1"
"1993","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","76.8","","","","1"
"1994","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","80.2","","","","1"
"1995","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","84.3","","","","1"
"1996","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","87.6","","","","1"
"1997","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","90.3","","","","1"
"1998","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","89.6","","","","1"
"1999","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","92.6","","","","1"
"2000","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","97.2","","","","1"
"2001","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","97.3","","","","1"
"2002","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","100.0","","","","1"
"2003","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","105.2","","","","1"
"2004","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","107.7","","","","1"
"2005","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","112.0","","","","1"
"2006","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","115.2","","","","1"
"2007","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","117.1","","","","1"
"2008","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","119.5","","","","1"
"2009","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","113.1","","","","1"
"2010","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","118.0","","","","1"
"2011","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","125.6","","","","1"
"2012","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","128.1","","","","1"
"2013","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","129.0","","","","1"
"2014","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","130.4","","","","1"
"2015","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","126.5","","","","1"
"2016","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","127.9","","","","1"
"2017","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","132.9","","","","1"
"2018","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","139.1","","","","1"
"2019","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","141.5","","","","1"
"2020","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41693426","2.176","141.2","","","","1"
"1982","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","61.8","","","","1"
"1983","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","65.6","","","","1"
"1984","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","69.4","","","","1"
"1985","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","73.5","","","","1"
"1986","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","65.4","","","","1"
"1987","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","68.5","","","","1"
"1988","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","67.9","","","","1"
"1989","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","72.1","","","","1"
"1990","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","82.7","","","","1"
"1991","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","81.5","","","","1"
"1992","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","78.6","","","","1"
"1993","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","77.4","","","","1"
"1994","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","76.5","","","","1"
"1995","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","80.1","","","","1"
"1996","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","83.6","","","","1"
"1997","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","85.2","","","","1"
"1998","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","77.9","","","","1"
"1999","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","84.9","","","","1"
"2000","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","103.5","","","","1"
"2001","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","100.8","","","","1"
"2002","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","100.0","","","","1"
"2003","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","106.4","","","","1"
"2004","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","117.6","","","","1"
"2005","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","132.6","","","","1"
"2006","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","139.8","","","","1"
"2007","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","146.1","","","","1"
"2008","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","164.7","","","","1"
"2009","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","135.8","","","","1"
"2010","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","148.2","","","","1"
"2011","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","177.8","","","","1"
"2012","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","182.3","","","","1"
"2013","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","183.4","","","","1"
"2014","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","183.8","","","","1"
